"year","KNCcorpbea","KNRcorpbea","KNCcorp","KNRcorp","KGCcorp","KGRcorp","IGCcorpbea","IG_R_net","DEPCcorpbea","dcorpstar","dcorp_WL","pKN","KNHcorpbea","KNRIndxcorpbea"
1990,5441062,6183987.83456,5383792.25352516,6118898.44291389,9456077.55512978,10747215.9963585,602591,684869.132756683,454686,0.0859360112725276,0.0884219492321425,87.986298575685,3650282,51.808
1991,5585582,6309200.21949,5533096.72932773,6249915.42495194,9833315.01840622,11107231.6676119,590570,667078.985435038,479628,0.0876075993739992,0.0881497031278085,88.5307456679748,3845134,52.857
1992,5786950,6432741.51444,5741008.2471845,6381672.91689165,10314905.5034835,11465991.7313583,608234,676109.539963867,494349,0.0870975062879896,0.0885044745560982,89.9608664052434,4034508,53.892
1993,6069009,6588988.42757,6025652.96102266,6541917.73792578,10920069.8653809,11855677.5861183,660680,717285.618513162,517187,0.0872875819136082,0.0893712577437165,92.1083572495852,4253635,55.201
1994,6415484,6767914.419,6378179.66526903,6728560.79503071,11637810.9313223,12277126.4658585,720597,760182.525057836,547585,0.0876714582679464,0.09022642741179,94.7926289077977,4500346,56.7
1995,6794677,6993153.47559,6758718.99136838,6956145.11256737,12395973.1860823,12758066.7881007,808110,831715.364123863,590418,0.0897860723846595,0.0920301570388142,97.1618458499046,4802523,58.587
1996,7152908,7255872.69316,7117408.35776699,7219862.04061205,13100679.5186752,13289261.2041698,883000,895710.610014875,626340,0.0908540106255681,0.0921809822600839,98.5809468066183,5138771,60.788
1997,7573981,7550581.34749,7538902.16741504,7515610.89020898,13912956.4636841,13869972.6818873,963381,960404.654979497,670041,0.092059349838522,0.0936739295402653,100.309905309712,5507829,63.257
1998,8001999,7874175.98576,7966474.69093617,7839219.13793471,14732942.714479,14497600.3773467,1040534,1023912.62922762,714984,0.0931799679004424,0.0944000255611943,101.62331924599,5900897,65.968
1999,8487993,8225224.24513,8452669.04441488,8190993.83802285,15662531.814252,15177655.8273205,1129231,1094272.60361223,769635,0.0947157989156189,0.0961803419370585,103.194669799131,6323924,68.909
2000,9087285,8600145.2185,9051224.00733737,8566017.33832216,16810552.4027306,15909393.3850085,1231396,1165384.86704005,838620,0.096491510355173,0.0988007412352956,105.664320416963,6788298,72.05
2001,9528266,8867400.25173,9506784.86434156,8847409.01431649,17794059.8272688,16559891.4421178,1187409,1105052.15382384,888572,0.0961544257148147,0.0977819007547359,107.452756495807,7146035,74.289
2002,9830512,9011113.99001,9809516.91824277,8991868.90135703,18619672.1067493,17067675.3978356,1070121,980923.711206852,914587,0.0945433654997497,0.0959867199341412,109.093193259994,7368836,75.493
2003,10127063,9151724.27547,10106173.7825094,9132846.90117064,19433584.5675427,17561933.5681213,1086552,981906.038795303,932541,0.0935209407751471,0.0948618952909065,110.657431268382,7587313,76.671
2004,10967477,9309642.27858,10952086.4506215,9296578.15187297,21262084.7155326,18048125.6353191,1163895,987961.597715488,973014,0.0902490051494792,0.0960805714351733,117.807716685682,7850102,77.994
2005,11936357,9497759.2649,11938021.9434129,9499084.06037363,23329120.9536023,18562981.5427814,1295107,1030516.6399,1042069,0.0890661830484935,0.0950144686877392,125.675505843911,8201254,79.57
2006,12896598,9740425.40271,12889851.1287292,9735329.68705577,25307940.1697674,19114351.1893499,1432255,1081740.54779085,1119303,0.0890080470637985,0.0937725806961035,132.402820891292,8659315,81.603
2007,13605165,10007561.07237,13594310.5378487,9999576.84778422,26790855.3958417,19706568.9063616,1547563,1138342.03670739,1188944,0.0897858525675974,0.0921905141185295,135.94885808454,9178361,83.841
2008,14481024,10231606.49326,14472269.8488425,10225421.2241916,28669643.4539377,20256613.7672831,1575381,1113089.68681762,1256741,0.08872828559809,0.0923723453556058,141.532260936142,9671317,85.718
